t,weekly_return
2024-08-11,-0.010972612359550604
2024-08-18,-0.003283926511050028
2024-08-25,0.0005342831700800854
2024-09-01,0.014150943396226356
2024-09-08,0.02325581395348819
2024-09-15,0.006089193825042916
2024-09-22,-0.008012957122154996
2024-09-29,-0.0034373120219988174
2024-10-06,-0.01655600586358541
2024-10-13,0.0010521701008330275
2024-10-20,0.05772094245423487
2024-10-27,-0.029397151374627506
2024-11-03,-0.03864857947274114
2024-11-10,0.0048810791622293515
2024-11-17,-0.009361476640466382
2024-11-24,0.022555050369974072
2024-12-01,0.02048823016564949
2024-12-08,-0.04228961982058954
2024-12-15,-0.029259589652096407
2024-12-22,-0.004962323102370769
2024-12-29,0.0005541189508682098
2025-01-05,-0.005168912682296467
2025-01-12,-0.017721284097235057
2025-01-19,0.0320204023802777
